feature_number,feature,feature_type,in_file
1,Female - ,Percentage,888933042333.csv
2,Percentage of teachers in each age group - Under 25 years,Percentage,888933042333.csv
3, - 25-29 years,Percentage,888933042333.csv
4, - 30-39 years,Percentage,888933042333.csv
5, - 40-49 years,Percentage,888933042333.csv
6, - 50-59 years,Percentage,888933042333.csv
7, - 60 years or more,Percentage,888933042333.csv
8,Average age - ,Average,888933042333.csv
9,Highest level of formal education completed - Below ISCED level 5,Percentage,888933042409.csv
10, - ISCED level 5B2,Percentage,888933042409.csv
11, - ISCED level 5A,Percentage,888933042409.csv
12, - ISCED level 6,Percentage,888933042409.csv
13,Completion of teacher education or training programme -  - ,Percentage,888933042485.csv
14,Elements included in formal education and training - Content of the subject(s) being taught - For all subjects,Percentage,888933042485.csv
15, -  - For some subjects,Percentage,888933042485.csv
16, - Pedagogy of the subject(s) being taught - For all subjects,Percentage,888933042485.csv
17, -  - For some subjects,Percentage,888933042485.csv
18, - Practice in the subject(s) being taught - For all subjects,Percentage,888933042485.csv
19, - For some subjects,Percentage,888933042485.csv
20,Extent to which teachers feel prepared for the following elements in their teaching - Content of the subject(s) being taught - Not at all prepared,Percentage,888933042523.csv
21, -  - Somewhat prepared,Percentage,888933042523.csv
22, -  - Well prepared,Percentage,888933042523.csv
23, -  - Very well prepared,Percentage,888933042523.csv
24, - Pedagogy of the subject(s) being taught - Not at all prepared,Percentage,888933042523.csv
25, -  - Somewhat prepared,Percentage,888933042523.csv
26, -  - Well prepared,Percentage,888933042523.csv
27, -  - Very well prepared,Percentage,888933042523.csv
28, - Practice in the subject(s) being taught - Not at all prepared,Percentage,888933042523.csv
29, - Somewhat prepared,Percentage,888933042523.csv
30, - Well prepared,Percentage,888933042523.csv
31, - Very well prepared,Percentage,888933042523.csv
32,Years working as a teacher at this school - Less than 3 years,Percentage,888933042637.csv
33, - 3-10 years,Percentage,888933042637.csv
34, - 11-20 years,Percentage,888933042637.csv
35, - More than 20 years,Percentage,888933042637.csv
36,Years working as a teacher in total - Less than 3 years,Percentage,888933042637.csv
37, - 3-10 years,Percentage,888933042637.csv
38, - 11-20 years,Percentage,888933042637.csv
39, - More than 20 years,Percentage,888933042637.csv
40,Years working in other education roles - Less than 3 years,Percentage,888933042637.csv
41, - 3-10 years,Percentage,888933042637.csv
42, - 11-20 years,Percentage,888933042637.csv
43, - More than 20 years,Percentage,888933042637.csv
44,Years working in other jobs - Less than 3 years,Percentage,888933042637.csv
45, - 3-10 years,Percentage,888933042637.csv
46, - 11-20 years,Percentage,888933042637.csv
47, - More than 20 years,Percentage,888933042637.csv
48,Full time (more than 900f full-time hours) - ,Percentage,888933042656.csv
49,Part time (710 900f full-time hours) - ,Percentage,888933042656.csv
50,Part time (500 700f full-time hours) - ,Percentage,888933042656.csv
51,Part time (less than 500f full-time hours) - ,Percentage,888933042656.csv
